search_term,product_uid,relevance
1 lite french doors interior,105496,2.67
1 lite french doors interior,106811,2.67
1 lite french doors interior,115482,2.67
1 lite french doors interior,132659,3.0
1 lite french doors interior,141033,2.67
1 lite french doors interior,145154,2.67
1 lite french doors interior,165853,2.67
1 litre measuring,106788,2.33
1 litre measuring,129218,1.0
1 litre measuring,152509,1.0
1 oak dowels,193783,2.67
1 piece shower stall with seat,105157,2.33
1 pvc pipe two way coupler,105067,2.67
1 pvc pipe two way coupler,107514,2.33
1 pvc pipe two way coupler,113319,2.33
1 pvc pipe two way coupler,120339,2.0
1 pvc pipe two way coupler,124791,3.0
1 pvc pipe two way coupler,126594,2.0
1 pvc pipe two way coupler,139654,2.67
1 pvc pipe two way coupler,140420,2.0
1 pvc pipe two way coupler,143348,2.67
1 pvc pipe two way coupler,155220,2.0
1 pvc pipe two way coupler,157011,2.33
1 pvc slip cap,121535,2.33
1 pvc slip cap,194303,2.33
1 qt mahogany stain,111734,3.0
1 qt mahogany stain,142053,2.33
1 qt mahogany stain,144438,2.67
1 qt mahogany stain,160738,3.0
1 qt mahogany stain,161737,3.0
1 step carpet cutter,112328,2.67
1 step carpet cutter,196743,1.67
1 wood screws,109434,2.67
1 wood screws,110253,3.0
1 wood screws,116054,2.33
1 wood screws,118742,3.0
1 wood screws,118748,3.0
1 wood screws,143567,2.67
1 x12 x16 pt lumber,101034,2.67
1 x12 x16 pt lumber,104446,2.67
1 x12 x16 pt lumber,109409,3.0
1 x12 x16 pt lumber,110640,2.33
1 x12 x16 pt lumber,113530,2.67
1 x12 x16 pt lumber,115340,2.67
1 x12 x16 pt lumber,120934,2.67
1 x12 x16 pt lumber,151940,2.0
1 x4,101285,2.67
1 x4,101485,1.67
1 x4,101547,2.33
1 x4,101892,2.67
1 x4,102732,2.67
1 x4,135910,2.67
1' foam pipe,167820,2.67
1' foam pipe,172487,2.33
1' foam pipe,174510,2.0
1' foam pipe,178593,2.33
1' foam pipe,179031,2.67
1' foam pipe,188620,2.33
1' foam pipe,192464,2.67
1' foam pipe,193196,2.33
1' foam pipe,196718,2.67
1' foam pipe,198206,2.33
1' pvc pipe,107514,2.33
1' pvc pipe,118483,2.0
1' pvc pipe,129893,2.0
1' pvc pipe,135435,2.67
1' pvc pipe,139287,1.33
1' pvc pipe,143145,2.33
1' pvc pipe,149832,2.67
1' pvc pipe,151569,1.0
1-1/2' double slip connector,198010,3.0
1-1/2in. x 1ft. blk pipe,100596,2.0
1-1/2in. x 1ft. blk pipe,108824,2.33
1-1/2in. x 1ft. blk pipe,109036,2.0
1-1/2in. x 1ft. blk pipe,109305,2.67
1-1/2in. x 1ft. blk pipe,116794,2.67
1-1/2in. x 1ft. blk pipe,155040,2.0
1-1/4 bi-metal saw hole,117216,2.67
1-1/4 cu reducere,111974,2.33
1-1/4 cu reducere,116843,2.0
1-1/4 cu reducere,125325,3.0
1-1/4 cu reducere,162405,3.0
1-1/4 cu reducere,166841,3.0
1-1/4 to 3/4 threaded reducer pvc,124041,2.0
1-1/4 to 3/4 threaded reducer pvc,165482,3.0
1-1/4 to 3/4 threaded reducer pvc,183700,2.0
1-1/4 to 3/4 threaded reducer pvc,192670,2.0
1-1/4 to 3/4 threaded reducer pvc,203019,2.33
1-1/8 in. 10 amp sds rotary hammer,121049,2.33
1-1/8 in. 10 amp sds rotary hammer,123300,2.67
1-1/8 in. 10 amp sds rotary hammer,142877,2.33
1-5/8 drywall screws,111619,3.0
1-5/8 drywall screws,125110,3.0
1-5/8 drywall screws,129743,3.0
1-5/8 drywall screws,133229,3.0
1-5/8 drywall screws,136318,3.0
1-5/8 drywall screws,138877,3.0
1-5/8 drywall screws,150417,2.67
1-5/8 drywall screws,162940,2.0
1.5 abs  adaptor,120395,2.33
1.5 abs  adaptor,149095,2.0
1.5 abs  adaptor,173504,1.67
1.5 abs  adaptor,180752,2.33
1.5 abs  adaptor,187156,2.33
1.5 abs  adaptor,202339,2.0
1.5 abs  adaptor,204150,2.33
1.5 abs  adaptor,206266,1.67
1.5 ft window,104571,1.67
1.5 ft window,164336,1.0
1.5 ft window,164909,1.67
1.5 ft window,172219,2.33
1.5 ft window,179505,1.0
1.5 ft window,181070,1.0
1.5 ft window,184699,2.0
1.5 ft window,190307,1.33
1.5 in stainless bolts,121744,2.33
1.5 pvc pipe,107872,2.0
1.5 pvc pipe,135435,2.67
1.75 inch cabinet knob with base plate,114630,2.0
1.75 inch cabinet knob with base plate,120364,2.0
1.75 inch cabinet knob with base plate,120454,2.67
1.75 inch cabinet knob with base plate,137098,2.33
1.75 inch cabinet knob with base plate,139059,2.67
1.75 inch cabinet knob with base plate,142484,2.67
1/12 flexible pvc pipe,107657,2.33
1/12 flexible pvc pipe,110563,2.67
1/12 flexible pvc pipe,112770,1.67
1/12 flexible pvc pipe,118316,2.33
1/12 flexible pvc pipe,119026,2.67
1/12 flexible pvc pipe,124916,1.67
1/12 flexible pvc pipe,130531,1.67
1/12 flexible pvc pipe,131016,2.0
1/12 flexible pvc pipe,144799,2.33
1/12 flexible pvc pipe,150442,1.67
1/2  conduit,139266,1.67
1/2  conduit,142191,2.33
1/2  conduit,142277,1.67
1/2  conduit,144029,2.67
1/2  conduit,145200,3.0
1/2  copper pipe,110794,2.67
1/2  copper pipe,115132,2.0
1/2  copper pipe,118305,2.33
1/2  copper pipe,125055,2.67
1/2  copper pipe,148681,3.0
1/2  copper pipe,149912,3.0
1/2  thick polycarbonate sheets,108273,2.67
1/2  thick polycarbonate sheets,125335,2.0
1/2  thick polycarbonate sheets,153432,1.67
1/2 ' eye bolt,149437,1.67
1/2 ' eye bolt,153085,2.67
1/2 ' eye bolt,163817,2.0
1/2 ' eye bolt,175695,2.0
1/2 ' eye bolt,177107,2.67
1/2 ' eye bolt,178953,2.0
1/2 ' eye bolt,181133,2.67
1/2 ' eye bolt,188907,1.67
1/2 ' eye bolt,192197,1.67
1/2 ' eye bolt,202428,2.33
1/2 ' eye bolt,204924,2.67
1/2 1/4 1/4 shark bite,117096,2.67
1/2 1/4 1/4 shark bite,128059,2.33
1/2 1/4 1/4 shark bite,137698,2.0
1/2 1/4 1/4 shark bite,142140,3.0
1/2 1/4 1/4 shark bite,149388,2.33
1/2 1/4 1/4 shark bite,171873,2.33
1/2 1/4 1/4 shark bite,173679,2.67
1/2 1/4 1/4 shark bite,176909,2.0
1/2 1/4 1/4 shark bite,178547,2.67
1/2 1/4 1/4 shark bite,194597,2.67
1/2 barb,108009,3.0
1/2 barb,108125,2.67
1/2 barb,114726,2.67
1/2 barb,121293,1.67
1/2 barb,122388,2.33
1/2 barb,132563,2.33
1/2 barb,141431,2.33
1/2 barb,142761,3.0
1/2 barb,147800,3.0
1/2 bar x 1/2 mip,105821,2.67
1/2 bar x 1/2 mip,105843,2.33
1/2 brass,108840,2.67
1/2 brass,137163,2.0
1/2 brass,143427,3.0
1/2 brass,144312,2.33
1/2 brass,158664,2.33
1/2 brass,163210,2.0
1/2 brass csst,108998,2.67
1/2 brass csst,154222,3.0
1/2 brass csst,159328,2.67
1/2 brass csst,188555,2.67
1/2 brass nipple,103680,2.33
1/2 brass nipple,113239,2.67
1/2 brass nipple,116565,3.0
1/2 brass nipple,127442,2.33
1/2 brass nipple,129503,3.0
1/2 brass nipple,135638,3.0
1/2 brass nipple,137328,2.33
1/2 brass nipple,156228,3.0
1/2 cdx plywood,102162,1.67
1/2 cdx plywood,107728,2.33
1/2 cdx plywood,110421,3.0
1/2 cdx plywood,122017,3.0
1/2 cdx plywood,122603,3.0
1/2 copper fittings,111995,2.67
1/2 copper fittings,117529,3.0
1/2 copper fittings,118584,1.67
1/2 copper fittings,119689,3.0
1/2 copper fittings,121644,3.0
1/2 copper fittings,125325,2.33
1/2 copper fittings,144029,2.67
1/2 drip line,103894,3.0
1/2 drip line,110181,3.0
1/2 drip line,152455,3.0
1/2 drive to 3/4 drive,172026,2.33
1/2 drive to 3/4 drive,177887,2.67
1/2 drive to 3/4 drive,182158,2.0
1/2 drive to 3/4 drive,188307,2.33
1/2 drive to 3/4 drive,189159,3.0
1/2 drive to 3/4 drive,191533,3.0
1/2 drive to 3/4 drive,194471,2.0
1/2 drive to 3/4 drive,196631,2.67
1/2 drive to 3/4 drive,205933,3.0
1/2 fpt x 1/2 inch pex,109754,1.33
1/2 fpt x 1/2 inch pex,113499,2.33
1/2 fpt x 1/2 inch pex,162405,1.0
1/2 fpt x 1/2 inch pex,171715,2.33
1/2 fpt x 1/2 inch pex,173157,2.33
1/2 fpt x 1/2 inch pex,178275,2.67
1/2 fpt x 1/2 inch pex,182229,2.33
1/2 gal thermos,105465,1.0
1/2 gal thermos,116015,1.67
1/2 gal thermos,119633,2.0
1/2 gal thermos,132636,2.67
1/2 gal thermos,133319,1.67
1/2 gal thermos,145699,1.0
1/2 gal thermos,158774,2.33
1/2 hp belt drive chamberlain garage door opener,148174,2.67
1/2 in drywall,101977,1.33
1/2 in drywall,107038,3.0
1/2 in drywall,108784,2.0
1/2 in drywall,109581,2.67
1/2 in drywall,114209,3.0
1/2 in drywall,117413,2.33
1/2 in drywall,123131,3.0
1/2 in drywall,125697,2.33
1/2 in drywall,136362,2.33
1/2 in drywall,152861,2.67
1/2 in emt conduit flat end cap,120243,2.33
1/2 in emt conduit flat end cap,125013,1.67
1/2 in emt conduit flat end cap,141389,2.33
1/2 in emt conduit flat end cap,154991,2.67
1/2 in emt conduit flat end cap,160867,3.0
1/2 in free bar,103641,2.0
1/2 in free bar,113417,2.0
1/2 in free bar,121841,1.67
1/2 in free bar,135071,2.0
1/2 in free bar,136634,2.0
1/2 in free bar,138355,2.0
1/2 in free bar,157037,1.33
1/2 in free bar,157845,1.33
1/2 in x 6 ft copper hard pipe,105045,2.67
1/2 in x 6 ft copper hard pipe,133547,2.0
1/2 in x 6 ft copper hard pipe,134598,2.0
1/2 in x 6 ft copper hard pipe,155453,2.33
1/2 in x 6 ft copper hard pipe,161513,1.33
1/2 in x 6 ft copper hard pipe,162502,3.0
1/2 in. elbow schedule 40 pvc,107994,2.67
1/2 in. elbow schedule 40 pvc,113717,3.0
1/2 in. elbow schedule 40 pvc,114199,2.33
1/2 in. elbow schedule 40 pvc,132181,2.67
1/2 in. elbow schedule 40 pvc,134452,3.0
1/2 in. elbow schedule 40 pvc,139718,2.67
1/2 in. elbow schedule 40 pvc,145698,3.0
1/2 in. elbow schedule 40 pvc,155194,2.33
1/2 in. elbow schedule 40 pvc,159761,3.0
1/2 in. elbow schedule 40 pvc,161006,3.0
1/2 in. extension joint,122842,2.67
1/2 in. extension joint,133436,2.67
1/2 in. extension joint,142333,2.67
1/2 in. extension joint,153798,2.33
1/2 in. extension joint,154177,2.67
1/2 in. extension joint,157144,2.67
1/2 in. extension joint,163310,2.0
1/2 in. fip x 7/16 in. or 1/2 in. slip joint angle stop valve,115632,2.67
1/2 in. fip x 7/16 in. or 1/2 in. slip joint angle stop valve,137325,3.0
1/2 in. fip x 7/16 in. or 1/2 in. slip joint angle stop valve,143357,3.0
1/2 in. fip x 7/16 in. or 1/2 in. slip joint angle stop valve,163540,2.33
1/2 in. x 12in. black steel schedule 40 cut pipe,108824,2.33
1/2 in. x 12in. black steel schedule 40 cut pipe,113217,3.0
1/2 in. x 12in. black steel schedule 40 cut pipe,119758,2.33
1/2 in. x 7 in. zinc carriage bolt,185005,2.33
1/2 in. x 7 in. zinc carriage bolt,193007,3.0
1/2 in.x 1/2 in. thread allow male to male,103536,2.33
1/2 in.x 1/2 in. thread allow male to male,104296,2.0
1/2 in.x 1/2 in. thread allow male to male,121646,2.0
1/2 in.x 1/2 in. thread allow male to male,121837,2.67
1/2 in.x 1/2 in. thread allow male to male,140269,2.67
1/2 inch 22 degree elbow,175705,2.67
1/2 inch 22 degree elbow,179189,3.0
1/2 inch black iron coupling,101874,3.0
1/2 inch black iron coupling,191909,2.33
1/2 inch hole saw bit,144699,2.0
1/2 inch hole saw bit,151186,1.33
1/2 inch hole saw bit,175362,1.67
1/2 inch hole saw bit,179844,2.33
1/2 inch male pex,103533,2.67
1/2 inch male pex,138538,3.0
1/2 inch male pex,138988,3.0
1/2 inch male pex,140047,2.33
1/2 inch nm6,100885,2.33
1/2 inch nm6,101993,2.33
1/2 inch nm6,102587,2.33
